Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
X15_3_DKDL250004172-1A_22YNKMLT3_L6_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 1.0483254991968778e-05)	(14, 3.1449764975906333e-05)	(16, 6.289952995181267e-05)	(18, 9.4349294927719e-05)	(20, 0.00015724882487953167)	(22, 0.00019918184484740678)	(24, 0.0003354641597430009)	(26, 1.4611560807806083)	(28, 2.9547368692513762)	(30, 2.9855157059077966)	(32, 2.985568122182756)	(34, 2.9962295925095885)	(36, 2.9963134585495244)	(38, 2.996365874824484)	(40, 2.996481190629396)	(42, 3.0066184982066293)	(44, 3.1615714902429204)	(46, 3.162011786952583)	(48, 3.1620851697375265)	(50, 3.1621271027574944)	(52, 3.162200485542438)	(54, 3.162242418562406)	(56, 3.162347251112326)	(58, 3.162441600407253)	(60, 3.162525466447189)	(62, 3.162724648292037)	(64, 3.1661212229094344)	(66, 3.166247021969338)	(68, 3.1663937875392256)	(70, 3.1665091033441373)	(72, 3.1666139358940573)	(74, 3.1668340842488885)	(76, 3.16700181632876)	(78, 3.1671066488786797)	(80, 3.167263897703559)	(82, 3.1673582469984867)	(84, 3.167494529313382)	(86, 3.16764129488327)	(88, 3.1679243427680532)	(90, 3.1681549743778765)	(92, 3.16833318971274)	(94, 3.168574304577555)	(96, 3.1688049361873785)	(98, 3.168983151522242)	(100, 3.1691404003471213)	(102, 3.1693710319569446)	(104, 3.1695806970567846)	(106, 3.1698113286666074)	(108, 3.1700838932963986)	(110, 3.1702201756112944)	(112, 3.170419357456142)	(114, 3.170681438830941)	(116, 3.170933036950748)	(118, 3.1711427020505876)	(120, 3.1715829987602504)	(122, 3.1718345968800574)	(124, 3.172033778724905)	(126, 3.1722958600997044)	(128, 3.1725264917095273)	(130, 3.1726837405344073)	(132, 3.172872439124262)	(134, 3.1731030707340855)	(136, 3.1732917693239413)	(138, 3.1735957837187083)
X15_4_DKDL250004173-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 2.812763081246943e-05)	(18, 5.625526162493886e-05)	(20, 5.625526162493886e-05)	(22, 8.438289243740828e-05)	(24, 0.0005344249854369192)	(26, 4.1742529230937135)	(28, 8.464757344335363)	(30, 8.520632882944334)	(32, 8.540111267281969)	(34, 8.55919586478823)	(36, 8.559238056234447)	(38, 8.559280247680666)	(40, 8.559434949650134)	(42, 8.560953841714008)	(44, 9.239434488356988)	(46, 9.240629912666519)	(48, 9.240658040297332)	(50, 9.24070023174355)	(52, 9.240770550820582)	(54, 9.240798678451394)	(56, 9.240883061343832)	(58, 9.240939316605456)	(60, 9.240939316605456)	(62, 9.265958844213149)	(64, 9.291062754713277)	(66, 9.291062754713277)	(68, 9.291076818528683)	(70, 9.291119009974901)	(72, 9.291133073790308)	(74, 9.291175265236527)	(76, 9.29120339286734)	(78, 9.291259648128964)	(80, 9.291287775759777)	(82, 9.29131590339059)	(84, 9.291329967205996)	(86, 9.291414350098432)	(88, 9.291456541544651)	(90, 9.29154092443709)	(92, 9.291597179698714)	(94, 9.291625307329527)	(96, 9.291681562591151)	(98, 9.29172375403737)	(100, 9.291808136929808)	(102, 9.291850328376025)	(104, 9.291906583637651)	(106, 9.291962838899277)	(108, 9.292047221791714)	(110, 9.292131604684151)	(112, 9.292272242838212)	(114, 9.292370689546058)	(116, 9.292483200069306)	(118, 9.292609774407962)	(120, 9.292609774407962)	(122, 9.2926941573004)	(124, 9.292806667823651)	(126, 9.292891050716086)	(128, 9.292975433608525)	(130, 9.293059816500962)	(132, 9.2931441993934)	(134, 9.301568424821735)	(136, 9.301807509683641)	(138, 9.301976275468515)
YHA_025_1_DKDL250004166-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 2.3351031858746805e-05)	(5, 2.3351031858746805e-05)	(6, 2.3351031858746805e-05)	(7, 2.3351031858746805e-05)	(8, 2.3351031858746805e-05)	(9, 2.3351031858746805e-05)	(10, 2.3351031858746805e-05)	(12, 3.502654778812021e-05)	(14, 7.005309557624042e-05)	(16, 7.005309557624042e-05)	(18, 0.00010507964336436062)	(20, 0.00011675515929373404)	(22, 0.00015178170708185425)	(24, 0.000607126828327417)	(26, 6.8033231320458825)	(28, 13.821125491714355)	(30, 13.915790574869714)	(32, 13.916561158921052)	(34, 14.266242861005786)	(36, 14.296027102141617)	(38, 14.509350453687198)	(40, 14.510004282579242)	(42, 14.880176515120027)	(44, 16.501823949098487)	(46, 16.504497642246314)	(48, 16.5045326687941)	(50, 16.50457937085782)	(52, 16.50460272188968)	(54, 16.504626072921535)	(56, 16.504649423953396)	(58, 16.504649423953396)	(60, 16.50468445050118)	(62, 16.504707801533044)	(64, 16.50474282808083)	(66, 16.50476617911269)	(68, 16.504801205660478)	(70, 16.504812881176406)	(72, 16.50489460978791)	(74, 16.5049296363357)	(76, 16.50495298736756)	(78, 16.504964662883488)	(80, 16.504976338399416)	(82, 16.504999689431276)	(84, 16.504999689431276)	(86, 16.50505806701092)	(88, 16.50513979562243)	(90, 16.50522152423393)	(92, 16.50527990181358)	(94, 16.505361630425085)	(96, 16.505420008004734)	(98, 16.505443359036594)	(100, 16.50549006110031)	(102, 16.50550173661624)	(104, 16.505560114195887)	(106, 16.505583465227744)	(108, 16.505676869355177)	(110, 16.505770273482618)	(112, 16.50581697554633)	(114, 16.505898704157836)	(116, 16.506003783801205)	(118, 16.506062161380846)	(120, 16.506120538960495)	(122, 16.506237294119792)	(124, 16.506307347215365)	(126, 16.506342373763154)	(128, 16.506435777890587)	(130, 16.50657588408174)	(132, 16.506704314756966)	(134, 16.50678604336847)	(136, 16.506832745432188)	(138, 16.50696117610741)
YHA_025_2_DKDL250004167-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 1.4552994584248595e-05)	(20, 2.910598916849719e-05)	(22, 5.821197833699438e-05)	(24, 0.000538460799617198)	(26, 5.702634586821564)	(28, 11.44504250784188)	(30, 11.480944745481223)	(32, 11.481002957459559)	(34, 11.481002957459559)	(36, 11.481002957459559)	(38, 11.481017510454144)	(40, 11.481163040399986)	(42, 11.603364535923923)	(44, 12.615292461345064)	(46, 12.61709703267351)	(48, 12.617111585668095)	(50, 12.617126138662679)	(52, 12.617126138662679)	(54, 12.617155244651848)	(56, 12.617213456630184)	(58, 12.617242562619353)	(60, 12.617286221603106)	(62, 12.617358986576026)	(64, 12.617446304543531)	(66, 12.617533622511038)	(68, 12.617533622511038)	(70, 12.617562728500205)	(72, 12.61760638748396)	(74, 12.617664599462294)	(76, 12.61767915245688)	(78, 12.61767915245688)	(80, 12.617708258446049)	(82, 12.617766470424385)	(84, 12.617897447375643)	(86, 12.617970212348565)	(88, 12.617984765343149)	(90, 12.618028424326901)	(92, 12.618042977321487)	(94, 12.61805753031607)	(96, 12.618101189299823)	(98, 12.618173954272745)	(100, 12.618232166251083)	(102, 12.61826127224025)	(104, 12.618304931224003)	(106, 12.618435908175261)	(108, 12.618537779137352)	(110, 12.618610544110272)	(112, 12.618625097104857)	(114, 12.61863965009944)	(116, 12.618712415072363)	(118, 12.618770627050699)	(120, 12.618872498012788)	(122, 12.619003474964046)	(124, 12.619119898920722)	(126, 12.619221769882811)	(128, 12.619309087850315)	(130, 12.619381852823238)	(132, 12.619454617796158)	(134, 12.619585594747416)	(136, 12.619643806725755)	(138, 12.619774783677013)
YHA_025_3_DKDL250004182-1A_22YNKMLT3_L6_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 1.8098269986372003e-05)	(9, 1.8098269986372003e-05)	(10, 4.524567496593001e-05)	(12, 6.334394495230201e-05)	(14, 0.00010858961991823202)	(16, 0.00012668788990460403)	(18, 0.00012668788990460403)	(20, 0.00016288442987734804)	(22, 0.00025337577980920806)	(24, 0.0007420290694412522)	(26, 7.063501399901184)	(28, 14.230217233534646)	(30, 14.272485743087817)	(32, 14.301243894096164)	(34, 14.36621668334724)	(36, 14.431162325193334)	(38, 14.43123471827328)	(40, 14.486153918546925)	(42, 14.60486047138754)	(44, 15.391411284995268)	(46, 15.393022031024055)	(48, 15.393112522373986)	(50, 15.393230161128898)	(52, 15.393275406803863)	(54, 15.393393045558774)	(56, 15.393519733448679)	(58, 15.39361022479861)	(60, 15.393745961823509)	(62, 15.393809305768462)	(64, 15.393954091928354)	(66, 15.394035534143292)	(68, 15.394189369438175)	(70, 15.394307008193087)	(72, 15.39446084348797)	(74, 15.394659924457821)	(76, 15.394777563212733)	(78, 15.395003791587563)	(80, 15.395166676017439)	(82, 15.395401953527262)	(84, 15.395519592282174)	(86, 15.395800115466962)	(88, 15.395953950761847)	(90, 15.396180179136676)	(92, 15.39638830924152)	(94, 15.396596439346363)	(96, 15.396822667721192)	(98, 15.397021748691042)	(100, 15.397175583985927)	(102, 15.397365615820785)	(104, 15.397618991600591)	(106, 15.397790925165463)	(108, 15.397971907865326)	(110, 15.39826148018511)	(112, 15.398532954234906)	(114, 15.398741084339747)	(116, 15.39883157568968)	(118, 15.39908495146949)	(120, 15.399347376384291)	(122, 15.399519309949163)	(124, 15.39962789956908)	(126, 15.39988127534889)	(128, 15.40025228988361)	(130, 15.400496616528425)	(132, 15.400759041443228)	(134, 15.401039564628018)	(136, 15.40130198954282)	(138, 15.401591561862602)
YHA_025_4_DKDL250004183-1A_22YNKMLT3_L6_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.7477469793688955e-05)	(10, 4.369367448422239e-05)	(12, 6.117114427791134e-05)	(14, 6.990987917475582e-05)	(16, 7.86486140716003e-05)	(18, 0.00011360355365897822)	(20, 0.0001485584932463561)	(22, 0.0001660359630400451)	(24, 0.0007340537313349361)	(26, 5.074967858933049)	(28, 10.229056223622129)	(30, 10.25591909469503)	(32, 10.256067653188275)	(34, 10.280737101802067)	(36, 10.30540655041586)	(38, 10.30554637017421)	(40, 10.361579138332775)	(42, 10.39687488858113)	(44, 10.690417732501032)	(46, 10.690863407980771)	(48, 10.690863407980771)	(50, 10.690959534064637)	(52, 10.691055660148503)	(54, 10.691151786232368)	(56, 10.691265389786027)	(58, 10.691361515869893)	(60, 10.691440164483964)	(62, 10.69158872297721)	(64, 10.691789713879839)	(66, 10.691824668819425)	(68, 10.691947011107981)	(70, 10.692043137191845)	(72, 10.69222665062468)	(74, 10.692366470383028)	(76, 10.692497551406483)	(78, 10.69269854230911)	(80, 10.692855839537252)	(82, 10.692995659295601)	(84, 10.693179172728435)	(86, 10.69331025375189)	(88, 10.69344133477534)	(90, 10.693598632003484)	(92, 10.693773406701421)	(94, 10.69400061380874)	(96, 10.694088001157708)	(98, 10.694420073083787)	(100, 10.723572492699661)	(102, 10.72553870805145)	(104, 10.727461229728757)	(106, 10.727775824185043)	(108, 10.727968076352774)	(110, 10.728204022194987)	(112, 10.728413751832512)	(114, 10.728719607553902)	(116, 10.729034202010189)	(118, 10.729331318996682)	(120, 10.729593481043587)	(122, 10.729873120560285)	(124, 10.730126543872295)	(126, 10.73044113832858)	(128, 10.730790687724454)	(130, 10.73127131814378)	(132, 10.742360772727878)	(134, 10.74268410591906)	(136, 10.742885096821688)	(138, 10.74326086242225)
YHA_1_1_DKDL250004168-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 1.5046083143451764e-05)	(9, 3.0092166286903527e-05)	(10, 3.0092166286903527e-05)	(12, 3.0092166286903527e-05)	(14, 3.0092166286903527e-05)	(16, 3.0092166286903527e-05)	(18, 3.0092166286903527e-05)	(20, 4.513824943035529e-05)	(22, 0.00012036866514761411)	(24, 0.0013090092334803035)	(26, 15.538533921695368)	(28, 31.205185241357228)	(30, 31.375664886414107)	(32, 31.376958849564446)	(34, 32.072208259457064)	(36, 32.146317741980134)	(38, 32.146370403271135)	(40, 32.14649829497786)	(42, 32.46087115617714)	(44, 34.005614897307474)	(46, 34.00810502406772)	(48, 34.00812007015086)	(50, 34.008142639275576)	(52, 34.008232915774435)	(54, 34.00829310010701)	(56, 34.008360807481154)	(58, 34.008360807481154)	(60, 34.00838337660586)	(62, 34.00841346877216)	(64, 34.00842099181373)	(66, 34.00843603789687)	(68, 34.00843603789687)	(70, 34.00843603789687)	(72, 34.00843603789687)	(74, 34.00845860702158)	(76, 34.00851879135416)	(78, 34.00854888352045)	(80, 34.00860154481145)	(82, 34.00865420610245)	(84, 34.008744482601315)	(86, 34.00878209780917)	(88, 34.00878962085074)	(90, 34.00881971301703)	(92, 34.008887420391176)	(94, 34.00889494343275)	(96, 34.00894008168218)	(98, 34.00902283513946)	(100, 34.00912815772147)	(102, 34.009210911178755)	(104, 34.009331279843906)	(106, 34.00938394113491)	(108, 34.00938394113491)	(110, 34.00940651025962)	(112, 34.00943660242591)	(114, 34.0095193558832)	(116, 34.00961715542363)	(118, 34.00970743192249)	(120, 34.009790185379785)	(122, 34.00988046187864)	(124, 34.009955692294355)	(126, 34.010061014876364)	(128, 34.01009863008422)	(130, 34.01018890658308)	(132, 34.01024156787409)	(134, 34.01034689045609)	(136, 34.01045973607967)	(138, 34.010534966495385)
YHA_1_2_DKDL250004169-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.016282692511647e-05)	(10, 2.016282692511647e-05)	(12, 3.0244240387674705e-05)	(14, 6.048848077534941e-05)	(16, 0.00013105837501325705)	(18, 0.00022179109617628118)	(20, 0.0002621167500265141)	(22, 0.00034276805772698)	(24, 0.002540516192564675)	(26, 24.794752503315774)	(28, 50.2987929322033)	(30, 50.41412430221497)	(32, 50.44475163631422)	(34, 51.012375539910096)	(36, 51.58023131601561)	(38, 51.580997503438766)	(40, 51.961530535996495)	(42, 52.24823585345818)	(44, 57.64390915275398)	(46, 57.65454504395698)	(48, 57.65455512537044)	(50, 57.65458536961083)	(52, 57.654666020918526)	(54, 57.65469626515892)	(56, 57.65487773060124)	(58, 57.65489789342817)	(60, 57.6549180562551)	(62, 57.65498862614933)	(64, 57.65505919604357)	(66, 57.65509952169742)	(68, 57.65512976593781)	(70, 57.65514992876473)	(72, 57.65520033583204)	(74, 57.655230580072434)	(76, 57.655250742899355)	(78, 57.65527090572628)	(80, 57.655321312793596)	(82, 57.655341475620524)	(84, 57.655401964101294)	(86, 57.65543220834168)	(88, 57.65544228975514)	(90, 57.655482615409)	(92, 57.65554310388977)	(94, 57.655583429543626)	(96, 57.65561367378401)	(98, 57.65568424367825)	(100, 57.65578505781287)	(102, 57.655835464880184)	(104, 57.65591611618788)	(106, 57.6559665232552)	(108, 57.65601693032251)	(110, 57.6560471745629)	(112, 57.65606733738983)	(114, 57.65608750021675)	(116, 57.656117744457134)	(118, 57.65617823293792)	(120, 57.65625888424562)	(122, 57.656289128486)	(124, 57.656379861207164)	(126, 57.65646051251487)	(128, 57.65655124523603)	(130, 57.65664197795719)	(132, 57.65674279209182)	(134, 57.65681336198605)	(136, 57.65688393188029)	(138, 57.65698474601491)
YHA_1_2_DKDL250004169-1A_22YNKMLT3_L8_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 1.0081413462558235e-05)	(28, 0.00011089554808814059)	(30, 0.0002822795769516306)	(32, 0.0004839078462027953)	(34, 0.0009678156924055907)	(36, 0.0027723887022035147)	(38, 0.006361371894874247)	(40, 0.011139961876126848)	(42, 0.01603952881893015)	(44, 0.02004184996356577)	(46, 0.023721565877399528)	(48, 0.027996085185524218)	(50, 0.03211938329171054)	(52, 0.03773473059035548)	(54, 0.04283592580240994)	(56, 0.046737432812419974)	(58, 0.05064902123589257)	(60, 0.05391539919776144)	(62, 0.05777658055392125)	(64, 0.06224264671783455)	(66, 0.06654741026634692)	(68, 0.07068078978599579)	(70, 0.07464278527678117)	(72, 0.07879632762335517)	(74, 0.08316157965264288)	(76, 0.08696227252802734)	(78, 0.09046052299953505)	(80, 0.09402934336528065)	(82, 0.09729572132714953)	(84, 0.10138877519294817)	(86, 0.10530036361642077)	(88, 0.10908089366488011)	(90, 0.11197425932863432)	(92, 0.11535153283859133)	(94, 0.11831546839658345)	(96, 0.12116850840648744)	(98, 0.12355780339711372)	(100, 0.12584628425311445)	(102, 0.12776175281100052)	(104, 0.12974779126312447)	(106, 0.13171366688832334)	(108, 0.13361905403274685)	(110, 0.135463952696395)	(112, 0.13702657178309152)	(114, 0.13846821390823738)	(116, 0.14002075158147131)	(118, 0.14158337066816787)	(120, 0.1430250127933137)	(122, 0.14419445675497045)	(124, 0.14540422637047742)	(126, 0.14651318185135884)	(128, 0.14750116037068953)	(130, 0.14854962737079558)	(132, 0.14947711740935096)	(134, 0.15034411896713096)	(136, 0.15126152759222378)	(138, 0.15215877339039147)
YHA_1_3_DKDL250004184-1A_22YNKMLT3_L5_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 3.6781401753933404e-05)	(22, 0.0001348651397644225)	(24, 0.0017532468169374922)	(26, 19.925073832533787)	(28, 40.349602319484234)	(30, 40.641916379689995)	(32, 40.64283591473385)	(34, 40.9818868761016)	(36, 40.983738206656554)	(38, 40.98377498805831)	(40, 40.98399567646883)	(42, 41.44392258446726)	(44, 43.92973231967059)	(46, 43.9335330645185)	(48, 43.93424417161908)	(50, 43.934305473955334)	(52, 43.93437903675884)	(54, 43.93455068330036)	(56, 43.93464876703837)	(58, 43.93467328797287)	(60, 43.93467328797287)	(62, 43.93471006937463)	(64, 43.93478363217814)	(66, 43.934844934514395)	(68, 43.9349184973179)	(70, 43.93500432058866)	(72, 43.93502884152316)	(74, 43.93507788339217)	(76, 43.93510240432667)	(78, 43.935151446195675)	(80, 43.93518822759743)	(82, 43.935445697409705)	(84, 43.93560508348397)	(86, 43.93572768815649)	(88, 43.9358257718945)	(90, 43.93603419983777)	(92, 43.93613228357578)	(94, 43.93625488824829)	(96, 43.936365232453554)	(98, 43.93653687899507)	(100, 43.93663496273308)	(102, 43.936818869741856)	(104, 43.937002776750624)	(106, 43.93717442329214)	(108, 43.93735833030091)	(110, 43.93748093497342)	(112, 43.937615800113186)	(114, 43.937726144318454)	(116, 43.93788553039272)	(118, 43.9381675211395)	(120, 43.93830238627926)	(122, 43.93852307468978)	(124, 43.9386947212313)	(126, 43.938866367772825)	(128, 43.93895219104358)	(130, 43.93905027478159)	(132, 43.93922192132311)	(134, 43.939369046930125)	(136, 43.93954069347164)	(138, 43.93965103767691)
YHA_1_4_DKDL250004185-1A_22YNKMLT3_L6_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 2.4157244334824237e-05)	(16, 2.4157244334824237e-05)	(18, 4.831448866964847e-05)	(20, 6.0393110837060595e-05)	(22, 0.0002536510655156545)	(24, 0.001944658168953351)	(26, 23.066085765464564)	(28, 46.52361551813061)	(30, 46.725690866991414)	(32, 46.72612569738945)	(34, 46.72691080783033)	(36, 46.72711614440718)	(38, 46.727309402361854)	(40, 46.728650129422434)	(42, 48.182747137668514)	(44, 57.70729633329267)	(46, 57.72373533806252)	(48, 57.72406146086104)	(50, 57.724158089838376)	(52, 57.72427887606005)	(54, 57.72447213401473)	(56, 57.72462915610291)	(58, 57.72468954921374)	(60, 57.724725785080246)	(62, 57.72491904303492)	(64, 57.725076065123105)	(66, 57.725172694100436)	(68, 57.72532971618861)	(70, 57.72543842378812)	(72, 57.7256679176093)	(74, 57.72590949005265)	(76, 57.72601819765215)	(78, 57.72625977009551)	(80, 57.72651342116102)	(82, 57.72671875773787)	(84, 57.726875779826045)	(86, 57.76928382225583)	(88, 57.81123287704325)	(90, 57.81140197775359)	(92, 57.811607314330445)	(94, 57.81184888677379)	(96, 57.81200590886196)	(98, 57.812175009572314)	(100, 57.81225955992748)	(102, 57.8125494468595)	(104, 57.81276686205851)	(106, 57.812948041391024)	(108, 57.81312922072353)	(110, 57.81332247867822)	(112, 57.8136244442324)	(114, 57.81390225254225)	(116, 57.814059274630424)	(118, 57.8142525325851)	(120, 57.814421633295446)	(122, 57.81459073400579)	(124, 57.81483230644914)	(126, 57.815098036136824)	(128, 57.81542415893534)	(130, 57.81570196724519)	(132, 57.816003932799376)	(134, 57.81628174110923)	(136, 57.81661994252991)	(138, 57.81678904324026)
